Expander Information:
Name                : Expander1(RAID Card1)

PHY error statistics:
PHY#,     Timestamp,               InvalidDwordCount,       LossDwordSynchCount,     PhyResetProblemCount,    RunningDisparityErrorCount
0,        2024-07-19 15:17:31,     0,                       0,                       0,                       0,
1,        2024-07-19 15:17:31,     0,                       0,                       0,                       0,
2,        2024-07-19 15:17:31,     0,                       0,                       0,                       0,
3,        2024-07-19 15:17:31,     0,                       0,                       0,                       0,
4,        2024-07-19 15:17:31,     0,                       0,                       0,                       0,
5,        2024-07-19 15:17:31,     0,                       0,                       0,                       0,
6,        2024-07-19 15:17:31,     0,                       0,                       0,                       0,
7,        2024-07-19 15:17:31,     0,                       0,                       0,                       0,
8,        2024-07-19 15:17:31,     0,                       0,                       0,                       0,
9,        2024-07-19 15:17:31,     0,                       0,                       0,                       0,
10,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
11,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
12,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
13,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
14,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
15,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
16,       2024-07-19 15:17:31,     24,                      0,                       0,                       24,
17,       2024-07-19 15:17:31,     28,                      0,                       0,                       28,
18,       2024-07-19 15:17:31,     25,                      0,                       0,                       25,
19,       2024-07-19 15:17:31,     24,                      0,                       0,                       24,
20,       2024-07-19 15:17:31,     19,                      0,                       0,                       19,
21,       2024-07-19 15:17:31,     20,                      0,                       0,                       20,
22,       2024-07-19 15:17:31,     20,                      0,                       0,                       20,
23,       2024-07-19 15:17:31,     21,                      0,                       0,                       21,
23,       2024-07-19 19:21:02,     0,                       0,                       0,                       0,
23,       2024-07-19 19:47:47,     21,                      0,                       0,                       21,
24,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
25,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
26,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
27,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
28,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
29,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
30,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
31,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
32,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
33,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
34,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
35,       2024-07-19 15:17:31,     0,                       0,                       0,                       0,
